success_rate,company_name,address,city,state,zip,latitude,longitude,employee_count,sales,sic_code,sic_description,naics_code,naics_description,credit_rating,credit_score,home_business,year_est,sq_footage,pc_count
1,Deposition Sciences Inc,3300 Coffey Ln,Santa Rosa,CA,95403,38.470623,-122.744092,100,$0 ,3851-03,Optical Goods-Manufacturers,33911505,Ophthalmic Goods Manufacturing,A+,98,No,2004,"40,000+",
0,Pac Lease,7667 Conde Ln,Windsor,CA,95492,38.533784,-122.799052,50,"$19,200,000 ",7513-03,Truck Renting & Leasing,53212016,"Truck, Utility Trailer & Rv Rental & Leasing",B,83,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Hydrofarm Inc,2249 S Mcdowell Boulevard Ext,Petaluma,CA,94954,38.231476,-122.590557,60,"$10,680,000 ",0182-02,Hydroponics,11141902,Other Food Crops Grown Under Cover,A,93,No,2004,"40,000+",2 - 9 Pcs
0,KAISERQUOTES.COM,750 Mendocino Ave # 4,Santa Rosa,CA,95401,38.447095,-122.717143,6,"$7,128,000 ",6324-04,Health Plans,52411402,Direct Health & Medical Insurance Carriers,B,81,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Feast Catering Business Office,3100 Dutton Ave # 132,Santa Rosa,CA,95407,38.401095,-122.722126,150,"$6,000,000 ",5812-12,Caterers,72232001,Caterers,B+,89,No,2004,"2,500 - 9,999",
0,Autobank Insurance,600 Martin Ave # 200,Rohnert Park,CA,94928,38.353892,-122.72507,20,"$4,380,000 ",6411-12,Insurance,52421001,Insurance Agencies & Brokerages,B+,87,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Western Dental Ctr,4100 Montgomery Dr # A,Santa Rosa,CA,95405,38.454166,-122.672014,30,"$4,350,000 ",8021-01,Dentists,62121003,Offices Of Dentists,A+,100,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Catstudio,1340 Industrial Ave # A,Petaluma,CA,94952,38.268284,-122.668566,6,"$4,308,000 ",5199-10,Giftwares-Wholesale,42499050,Other Misc Nondurable Goods Merchant Wholesalers,B,81,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,California Mortgage Consultant,3033 Cleveland Ave # 150,Santa Rosa,CA,95403,38.466799,-122.729384,20,"$3,980,000 ",6162-01,Real Estate Loans,52229202,Real Estate Credit,B,82,No,2004,"2,500 - 9,999",10 - 29 Pcs
0,Great White,187 Concourse Blvd,Santa Rosa,CA,95403,38.511456,-122.789865,20,"$3,460,000 ",8721-01,Accountants,54121101,Offices Of Certified Public Accountants,A,90,No,2004,"2,500 - 9,999",10 - 29 Pcs
0,Morgan Creek Forest Products,237 Chiquita Rd,Healdsburg,CA,95448,38.614176,-122.865231,4,"$3,388,000 ",5031-09,Lumber-Wholesale,42331029,"Lumber, Plywood, Millwork/Wood Panel Mrchnt Whslrs",C+,79,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Diversified Lending,5129 Oak Meadow Dr,Santa Rosa,CA,95401,38.435991,-122.802185,15,"$2,985,000 ",6162-01,Real Estate Loans,52229202,Real Estate Credit,B,80,No,2004,"2,500 - 9,999",10 - 29 Pcs
0,Guerneville Fulton Ace,2551 Guerneville Rd,Santa Rosa,CA,95401,38.452582,-122.771959,15,"$2,655,000 ",5251-04,Hardware-Retail,44413005,Hardware Stores,B+,88,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Cma Cabinetry Inc,5715 Redwood Dr # 2,Rohnert Park,CA,94928,38.353601,-122.715135,10,"$2,620,000 ",2392-10,Closet Accessories-Manufacturers,31412004,Curtain & Linen Mills,B+,88,No,2004,"10,000 - 39,999",2 - 9 Pcs
0,West Valley Welding,6871 Abbott Ave # 5,Sebastopol,CA,95472,38.400756,-122.820736,9,"$2,484,000 ",3441-06,Steel-Structural (Mfrs),33231210,Fabricated Structural Metal Manufacturing,B+,88,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Russian River Health Ctr,16319 3rd St,Guerneville,CA,95446,38.500929,-122.989196,20,"$2,420,000 ",8049-22,Psychologists,62139936,Offices Of All Other Misc Health Practitioners,B+,87,No,2004,"2,500 - 9,999",10 - 29 Pcs
1,Marizco Landscape Management,PO Box 8160,Santa Rosa,CA,95407,38.409781,-122.738852,20,"$2,240,000 ",0782-04,Landscape Contractors,56173009,Landscaping Services,B+,85,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Gold Hammer Construction,6585 Commerce Blvd # 167,Rohnert Park,CA,94928,38.345612,-122.710761,9,"$2,124,000 ",1521-39,Remodeling & Repairing Bldg Contractors,23611823,Residential Remodelers,B,81,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,North Bay Medical Group,4415 Sonoma Hwy # B,Santa Rosa,CA,95409,38.458373,-122.676057,6,"$1,830,000 ",8011-04,Clinics,62149301,Freestanding Ambulatory Surgical & Emergency Ctrs,B+,88,No,2004,"0 - 2,499",2 - 9 Pcs
0,SBI Building Materials Landscp,1000 River Rd,Fulton,CA,95439,38.496497,-122.767366,5,"$1,750,000 ",5211-26,Building Materials,44411001,Home Centers,B,83,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Mac Phail Family Wines,851 Magnolia Dr,Healdsburg,CA,95448,38.592397,-122.861762,3,"$1,605,000 ",2084-01,Wineries (Mfrs),31213001,Wineries,B,82,No,2004,"0 - 2,499",0 - 1 Pcs
1,Golden Bear Financial,16001 Healdsburg Ave,Healdsburg,CA,95448,38.635699,-122.874611,8,"$1,592,000 ",6162-01,Real Estate Loans,52229202,Real Estate Credit,C+,78,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Steadfast Futures & Options,1777 W Watmaugh Rd,Sonoma,CA,95476,38.257099,-122.491482,4,"$1,432,000 ",6221-04,Commodity Brokers,52314001,Commodity Contracts Brokerage,C+,79,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Caravan Imports,111 Kentucky St,Petaluma,CA,94952,38.233933,-122.641286,6,"$1,428,000 ",5944-09,Jewelers-Retail,44831012,Jewelry Stores,B,83,No,2004,"0 - 2,499",0 - 1 Pcs
1,Wine Industry Compliance Svc,3775 Brickway Blvd # 120,Santa Rosa,CA,95403,38.510083,-122.793457,6,"$1,350,000 ",8748-04,Wine Consultants,54161213,Human Resources Consulting Services,B,81,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,T S Truck Sales,358 2nd St,Petaluma,CA,94952,38.23543,-122.672846,2,"$1,342,000 ",5521-01,Truck-Dealers-Used,44112004,Used Car Dealers,C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
1,Sonoma Eyeworks,534 Larkfield Ctr,Santa Rosa,CA,95403,38.500988,-122.750115,9,"$1,296,000 ",5995-04,Opticians,44613004,Optical Goods Stores,B,83,No,2004,"2,500 - 9,999",0 - 1 Pcs
1,Auto Savers Plus Insurance,620 Sebastopol Rd,Santa Rosa,CA,95407,38.429828,-122.727254,5,"$1,095,000 ",6411-12,Insurance,52421001,Insurance Agencies & Brokerages,B,83,No,2004,"0 - 2,499",2 - 9 Pcs
0,Alliance Property Management,1611 4th St,Santa Rosa,CA,95404,38.448349,-122.700105,8,"$1,072,000 ",6531-18,Real Estate,53121003,Offices Of Real Estate Agents & Brokers,B,83,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Hobby Town USA,171 N Mcdowell Blvd,Petaluma,CA,94954,38.250428,-122.628214,6,"$1,014,000 ",5945-08,Hobby & Model Constr Supplies-Retail,45112021,"Hobby, Toy & Game Stores",B,81,No,2004,"2,500 - 9,999",0 - 1 Pcs
1,Norcal Paintball Park,471 Kenilworth Dr,Petaluma,CA,94952,38.23543,-122.672846,9,"$1,008,000 ",7999-39,Paint Ball Games,71399031,All Other Amusement & Recreation Industries,B,83,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Protofab INC,1310 Stub Rd,Petaluma,CA,94954,38.271057,-122.664892,6,"$1,002,000 ",3599-03,Machine Shops (Mfrs),33271002,Machine Shops,B+,86,No,2004,"10,000 - 39,999",2 - 9 Pcs
1,Cats 4U,16977 Healdsburg Ave,Healdsburg,CA,95448,38.647629,-122.868584,5,"$1,000,000 ",1794-03,Excavating Contractors,23891006,Site Preparation Contractors,B,83,No,2004,"0 - 2,499",2 - 9 Pcs
0,Mc Dowell Business Ctr,921 Transport Way,Petaluma,CA,94954,38.255543,-122.639597,3,"$981,000 ",6512-02,Office Buildings & Parks,53112004,Lessors-Nonresidential Bldgs (Exc Miniwarehouses),C+,79,No,2004,"10,000 - 39,999",0 - 1 Pcs
1,Quality Plastering,19396 Sleepy Hollow Ct,Sonoma,CA,95476,38.293989,-122.483197,6,"$948,000 ",1742-06,Plastering Contractors,23831009,Drywall & Insulation Contractors,B,83,No,2004,"10,000 - 39,999",0 - 1 Pcs
1,Kasaga Designs,19167 Robinson Rd # Y,Sonoma,CA,95476,38.299535,-122.473271,1,"$944,000 ",5099-05,Importers (Whls),42399019,Other Miscellaneous Durable Goods Merchant Whlsrs,C+,79,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,Mary Agatha Furth Ctr,8400 Old Redwood Hwy,Windsor,CA,95492,38.544003,-122.799487,6,"$930,000 ",7389-39,Conference Centers,51919014,All Other Information Services,B,81,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Altech Building Svc Inc,75 Executive Ave # 3,Rohnert Park,CA,94928,38.355134,-122.710485,20,"$900,000 ",7349-02,Janitor Service,56172001,Janitorial Services,B+,85,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Sears Point Farming Co,5400 Sears Point Rd,Sonoma,CA,95476,38.155739,-122.40949,5,"$890,000 ",0191-01,Farms,11199803,All Other Miscellaneous Crop Farming,B,81,No,2004,"0 - 2,499",0 - 1 Pcs
0,Mammoth Motorsports,5706 Commerce Blvd,Rohnert Park,CA,94928,38.356243,-122.712488,7,"$854,000 ",7699-67,Motorcycles & Motor Scooters-Rpr & Svc,81131027,Coml/Ind Mach/Equip (Exc Auto/Elctrnc) Rpr/Maint,B,83,No,2004,"2,500 - 9,999",0 - 1 Pcs
1,Bead-Craft,1733 Lynn Dr,Penngrove,CA,94951,38.334633,-122.675375,1,"$854,000 ",5092-23,Wholesalers,42392023,Toy & Hobby Goods & Supplies Merchant Wholesalers,C,74,No,2004,"2,500 - 9,999",0 - 1 Pcs
1,Vintage Park,147 Colgan Ave,Santa Rosa,CA,95404,38.421706,-122.711221,4,"$792,000 ",6513-03,Apartments,53111002,Lessors Of Residential Buildings & Dwellings,B,84,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
0,Mas X Menos,443 Dutton Ave # 15a,Santa Rosa,CA,95407,38.431179,-122.726295,2,"$742,000 ",6099-02,Money Order Service,52232008,"Financial Trnsctns Procng, Reserve/Clrnghs Actvts",C+,79,No,2004,"0 - 2,499",0 - 1 Pcs
0,Heritage Properties,600 American Way,Windsor,CA,95492,38.529681,-122.796763,5,"$670,000 ",6531-18,Real Estate,53121003,Offices Of Real Estate Agents & Brokers,B,83,No,2004,"0 - 2,499",2 - 9 Pcs
0,Santa Rosa Time,860 Piner Rd # 39,Santa Rosa,CA,95403,38.471982,-122.734468,2,"$646,000 ",5731-31,Time Recorders,44314228,Electronic Stores,C+,77,No,2004,"0 - 2,499",2 - 9 Pcs
1,North Coast Financial Planning,1440 Cunningham Rd,Sebastopol,CA,95472,38.360737,-122.805869,2,"$644,000 ",6282-05,Financial Planning Consultants,52393005,Investment Advice,C+,77,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
1,Clover Cinemas,121 E 1st St,Cloverdale,CA,95425,38.80539,-123.015955,5,"$635,000 ",7832-01,Theatres-Movie,51213101,Motion Picture Theaters (Except Drive-Ins),B+,88,No,2004,"10,000 - 39,999",2 - 9 Pcs
0,Imagine Promotional Group,207 Hill Blvd,Petaluma,CA,94952,38.225785,-122.649381,3,"$627,000 ",7311-01,Advertising-Agencies & Counselors,54181001,Advertising Agencies,C+,77,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
1,Persinger Architects & Assoc,5875 Ross Branch Rd,Sebastopol,CA,95472,38.464681,-122.887655,3,"$621,000 ",8712-02,Architects,54131001,Architectural Services,B,82,Yes,2004,"0 - 2,499",2 - 9 Pcs
0,Equestrian's Concierge LLC,7600 Lakeville Hwy,Petaluma,CA,94954,38.154364,-122.49449,4,"$592,000 ",5941-20,Saddlery & Harness,45111041,Sporting Goods Stores,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
0,Electra Pacific,243 Cayetano Dr,Windsor,CA,95492,38.556934,-122.791824,1,"$579,000 ",5074-05,Solar Energy Equipment-Wholesale,42372032,Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls,C+,79,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,Idiaz Services,160 Grant Ave,Healdsburg,CA,95448,38.597068,-122.852109,6,"$576,000 ",7692-03,Welding,81149058,Other Personal & Household Goods Repair & Maint,B,83,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,Petaluma Towing,1800 Petaluma Blvd N,Petaluma,CA,94952,38.252444,-122.64859,5,"$525,000 ",7549-01,Wrecker Service,48841006,Motor Vehicle Towing,B,83,No,2004,"0 - 2,499",0 - 1 Pcs
0,Bella Sonoma,1492 Lowell Ave,Cotati,CA,94931,38.342051,-122.740093,3,"$510,000 ",0172-01,Vineyards,11133201,Grape Vineyards,C+,79,Yes,2004,"10,000 - 39,999",2 - 9 Pcs
1,Moon Essence Salon & Spa,15 Western Ave,Petaluma,CA,94952,38.233736,-122.640676,9,"$495,000 ",7231-06,Beauty Salons,81211202,Beauty Salons,B,83,No,2004,"0 - 2,499",2 - 9 Pcs
0,LA Texanita Restaurant,1667 Sebastopol Rd,Santa Rosa,CA,95407,38.427582,-122.738247,12,"$480,000 ",5812-08,Restaurants,72251117,Full-Service Restaurants,B+,85,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,Coast Auto Body,14450 Highway 1,Valley Ford,CA,94972,38.31554,-122.928408,1,"$464,000 ",5541-01,Service Stations-Gasoline & Oil,44719005,Other Gasoline Stations,B,82,No,2004,"0 - 2,499",0 - 1 Pcs
1,Data Instincts Public Outreach,239 Windsor River Rd,Windsor,CA,95492,38.547628,-122.81387,2,"$460,000 ",8742-14,Marketing Consultants,54161302,Marketing Consulting Services,C,74,No,2004,"0 - 2,499",2 - 9 Pcs
1,Results By Design,1051 Slate Dr,Santa Rosa,CA,95405,38.44749,-122.661164,2,"$460,000 ",8742-14,Marketing Consultants,54161302,Marketing Consulting Services,C,74,Yes,2004,"0 - 2,499",2 - 9 Pcs
0,Pacific Designers,830 Rolling Hill Dr,Petaluma,CA,94954,38.271365,-122.64598,2,"$442,000 ",7373-11,Website Design Service,54151217,Computer Systems Design Services,C,74,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
0,ISU Sander Jacobs Cassayre,4983 Sonoma Hwy # K,Santa Rosa,CA,95409,38.464626,-122.663466,2,"$438,000 ",6411-12,Insurance,52421001,Insurance Agencies & Brokerages,C+,79,No,2004,"0 - 2,499",2 - 9 Pcs
1,Vision Center At Walmart,4625 Redwood Dr,Rohnert Park,CA,94928,38.367404,-122.715714,3,"$432,000 ",5995-02,Optical Goods-Retail,44613003,Optical Goods Stores,A+,100,No,2004,"2,500 - 9,999",0 - 1 Pcs
0,Schafers Ata Black Belt Acad,1460 E Cotati Ave # I,Rohnert Park,CA,94928,38.335053,-122.68606,5,"$420,000 ",7999-45,Martial Arts Instruction,61162014,Sports & Recreation Instruction,B,83,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Green Building Architects,7 4th St # 61,Petaluma,CA,94952,38.232937,-122.64009,2,"$414,000 ",8712-02,Architects,54131001,Architectural Services,B,82,No,2004,"0 - 2,499",2 - 9 Pcs
1,Media Graphics,555 5th St # 240,Santa Rosa,CA,95401,38.440828,-122.715194,2,"$414,000 ",2752-02,Printers (Mfrs),32311109,Commercial Printing (Except Screen & Books),C+,79,No,2004,"2,500 - 9,999",2 - 9 Pcs
1,Valley Oak Real Estate,9056 Graton Rd,Graton,CA,95444,38.436355,-122.869198,3,"$402,000 ",6531-18,Real Estate,53121003,Offices Of Real Estate Agents & Brokers,C+,79,Yes,2004,"0 - 2,499",2 - 9 Pcs
1,Twilight Studio Stained Glass,14700 Orchard Ln,Guerneville,CA,95446,38.5169,-122.974354,2,"$402,000 ",5231-03,Glass-Stained & Leaded,44419034,Other Building Material Dealers,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
0,Cafe Mac,20093 Broadway,Sonoma,CA,95476,38.280459,-122.459713,2,"$372,000 ",7374-01,Data Processing Service,51821008,"Data Processing, Hosting & Related Services",C,74,No,2004,"2,500 - 9,999",2 - 9 Pcs
0,Kaleidoscope Nails,191 Southwest Blvd,Rohnert Park,CA,94928,38.335952,-122.707339,6,"$360,000 ",7231-02,Manicuring,81211302,Nail Salons,B,83,No,2004,"0 - 2,499",0 - 1 Pcs
0,Rock Solid Construction,7235 Belita Ave,Rohnert Park,CA,94928,38.339492,-122.697146,1,"$344,000 ",1521-03,General Contractors,23611505,New Single-Family Hsng Constr (Exc For-Sale Bldrs),C+,77,Yes,2004,"0 - 2,499",0 - 1 Pcs
1,NPI Software,338 English St,Petaluma,CA,94952,38.229806,-122.648154,1,"$343,000 ",5734-01,Computer Software,44314247,Electronic Stores,C,74,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
0,Engineering Design & Testing,4777 Sonoma Hwy,Santa Rosa,CA,95409,38.463337,-122.667258,4,"$340,000 ",8721-02,Accounting & Bookkeeping General Svc,54121903,Other Accounting Services,B,82,No,2004,"0 - 2,499",2 - 9 Pcs
1,Adventures For Gold,1426 Olive St,Santa Rosa,CA,95407,38.423037,-122.716274,1,"$323,000 ",5731-14,Metal Locating Equipment,44314212,Electronic Stores,C+,77,No,2004,"0 - 2,499",2 - 9 Pcs
1,Lewis Enterprises,PO Box 627,Penngrove,CA,94951,38.308818,-122.654866,2,"$322,000 ",1751-06,Woodworkers,23835013,Finish Carpentry Contractors,C+,79,No,2004,"2,500 - 9,999",0 - 1 Pcs
1,Woodifacts,115 Dechene Ave,Sonoma,CA,95476,38.315996,-122.485188,2,"$322,000 ",1751-06,Woodworkers,23835013,Finish Carpentry Contractors,C+,79,Yes,2004,"2,500 - 9,999",0 - 1 Pcs
1,Strategies For Success,4 Arrowhead Ct,Petaluma,CA,94954,38.24215,-122.592637,1,"$322,000 ",6282-05,Financial Planning Consultants,52393005,Investment Advice,C+,77,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
0,Computer Express,977 Ventnor Ave,Windsor,CA,95492,38.545451,-122.828135,2,"$314,000 ",7371-01,Computer Services,54151104,Custom Computer Programming Services,C+,77,Yes,2004,"2,500 - 9,999",2 - 9 Pcs
1,Novatech Computer Svc,5615 Old Redwood Hwy,Penngrove,CA,94951,38.287391,-122.667105,2,"$314,000 ",7371-01,Computer Services,54151104,Custom Computer Programming Services,C+,77,No,2004,"2,500 - 9,999",2 - 9 Pcs
